Player,TEAM,POS,AGE,GP,MPG,Minutes Percentage,Usage Rate,Turnover Rate,FTA,FT%,2PA,2P%,3PA,3P%,Effective Shooting Percentage,True Shooting Percentage,Points per game,Rebounds per game,Total Rebound Percentage,Assists per game,Assist Percentage,Steals per game,Blocks per game,Turnovers per game.,Versatility index,Offensive Rating,Defensive Rating
Carsen Edwards,Bos,G,22.95,13,10.3,21.6,19.7,4.8,9,0.778,25,0.56,30,0.333,0.527,0.551,5,1,5.4,0.4,5.6,0.31,0.08,0.23,4.9,112.2,104.2
CJ Elleby,Por,F-G,20.69,13,8.1,16.8,15.5,7.9,9,0.667,12,0.75,19,0.263,0.532,0.558,3,1.1,7.1,0.2,4,0.31,0.23,0.23,4.3,112.8,101.9
Wayne Ellington,Det,G,33.24,23,22.8,47.5,16.9,6.8,21,0.714,42,0.524,140,0.421,0.607,0.617,10.3,1.8,4.4,1.4,9.7,0.39,0.22,0.61,5.2,118.8,111.6
Joel Embiid,Phi,C-F,26.94,25,32.8,68.3,34,12.4,292,0.853,375,0.563,74,0.392,0.567,0.656,30.3,11.3,18.9,3.1,16.9,1.32,1.36,3.28,12.4,123.9,101.4
James Ennis III,Orl,F,30.65,22,21.5,44.9,13.2,13.7,35,0.8,68,0.515,43,0.442,0.572,0.613,7,3.9,9.2,1.4,9.4,0.86,0.27,0.91,6.3,117.9,103.3
Drew Eubanks,San,F-C,24.06,11,12.6,26.3,15.1,10.2,16,0.75,37,0.432,0,0,0.432,0.5,4,3.4,13.8,0.4,3.8,0.09,1.36,0.45,5.6,101.5,102.3
Dante Exum,Cle,G,25.62,6,19.4,40.3,12.5,20.7,2,0.5,15,0.533,11,0.182,0.423,0.428,3.8,2.8,8.2,2.2,15.4,0.67,0.33,1.17,5.9,86.6,110.1
Tacko Fall,Bos,C,25.21,6,8.2,17,14.4,6.1,8,0.375,12,0.667,0,0,0.667,0.612,3.2,3.7,24.9,0,0,0,1.33,0.17,0,130.2,93.5
Derrick Favors,Uta,F,29.61,29,16.5,34.3,13.6,11.2,48,0.813,112,0.625,1,0,0.619,0.667,6.2,5.6,18,0.9,7.7,0.55,1,0.59,7.6,137.3,92.4
Cristiano Felicio,Chi,F-C,28.63,6,6.4,13.2,11.8,28.5,8,0.625,4,0.75,0,0,0.75,0.731,1.8,2,17.4,0.8,16.3,0.33,0,0.5,8.9,135.4,105.8
Terrance Ferguson,Phi,G,22.77,7,3.5,7.2,7,25,0,0,0,0,3,0,0,0,0,0.1,2.3,0.3,9.6,0,0,0.14,0,,
Bruno Fernando,Atl,F-C,22.53,16,8.9,18.6,12.4,28.8,15,0.6,21,0.476,2,0,0.435,0.49,1.8,3.5,21.3,0.6,8.4,0.13,0.13,0.75,7,91.7,100.7
Yogi Ferrell,Cle,G,20,2,20.3,42.2,26.4,12.1,2,0,12,0.417,9,0.333,0.452,0.434,9.5,3,8.3,2.5,20.1,1.5,0.5,1.5,8.2,90.7,106.8
Dorian Finney-Smith,Dal,F,27.81,20,30.7,64,11.9,7.2,12,0.833,47,0.596,103,0.359,0.557,0.57,8.9,5,8.9,1.3,5.5,0.95,0.4,0.6,5,117.8,108.7
Malachi Flynn,Tor,G,22.79,15,8.4,17.4,17.7,7.7,6,0.667,19,0.368,26,0.192,0.322,0.346,2.2,0.7,4.8,1.1,17.4,0.27,0,0.27,5.7,83.9,106.9
Bryn Forbes,Mil,G,27.59,31,18.9,39.4,18.3,7.4,23,0.696,90,0.489,138,0.464,0.614,0.622,9.5,1.3,3.6,0.5,3.9,0.26,0,0.61,3.9,116,111
Trent Forrest,Uta,G,22.7,5,2.8,5.8,8.9,0,2,1,0,0,2,0,0,0.347,0.4,0.4,7.7,0.2,8.4,0.4,0,0,4.5,,
Evan Fournier,Orl,G-F,28.32,17,29,60.4,26.2,12.2,90,0.811,114,0.553,112,0.375,0.558,0.612,19.1,2.9,5.1,3.9,22.8,1,0.35,2.18,8.3,116.3,108
De'Aaron Fox,Sac,G,23.18,29,33.3,69.4,29.9,13.7,184,0.679,354,0.523,152,0.336,0.517,0.552,22.3,3.2,5.3,7.1,33.5,1.28,0.45,3.21,9.6,109.6,114
Tim Frazier,Mem,G,20,3,10.8,22.6,14.4,27.3,0,0,6,0.333,2,0,0.25,0.25,1.3,1.3,6.7,2.3,26.6,0.33,0,1,5.8,67.9,103.5
Markelle Fultz,Orl,G,22.74,8,26.9,56,25.9,13.8,19,0.895,88,0.42,16,0.25,0.413,0.458,12.9,3.1,6,5.4,32.2,0.88,0.25,2.25,8.9,96.5,106.6
